Admission No,Student Name,DOB,Class,Section,Father Name,Father Mobile,Mother Mobile,Address,Pincode,Aadhaar No,APAAR ID,Category,Blood Group,Medical Notes,Photo Path,Bank A/c No,IFSC,Transport Pickup Point,Status,Date of Admission,Total Fee,Marks Obtained
ADM2101,Student 101,04/03/2011,11,A,Parent 101,9416173375,9442672763,"House 101, Some Road",221053,385287900030,APAAR000101,General,O+,,/photos/101.jpg,2213728670,SBIN0001234,Stop 12,Active,01/04/2024,41025,94
ADM2102,Student 102,16/05/2010,7,A,Parent 102,9568634172,9656866524,"House 102, Some Road",221022,,APAAR000102,SC,AB-,,/photos/102.jpg,,,Stop 2,Active,01/04/2018,57099,57
ADM2103,Student 103,23/02/2014,3,B,Parent 103,9101394852,9662163695,"House 103, Some Road",221035,938757010661,APAAR000103,General,A+,,/photos/103.jpg,6788772696,SBIN0001234,Stop 4,Active,01/04/2017,32092,93
ADM2104,Student 104,19/06/2018,5,C,Parent 104,9270612594,9404652501,"House 104, Some Road",221037,872829067541,APAAR000104,OBC,AB-,,/photos/104.jpg,,,Stop 6,Left,01/04/2011,25300,92
ADM2105,Student 105,26/09/2011,11,B,Parent 105,9481840913,9202164888,"House 105, Some Road",221061,,,ST,A+,Mild asthma,/photos/105.jpg,3773959115,SBIN0001234,Stop 12,Active,01/04/2013,39866,63
ADM2106,Student 106,14/09/2018,3,B,Parent 106,9777256245,9350799859,"House 106, Some Road",221068,684660499936,APAAR000106,General,O+,,/photos/106.jpg,,,Stop 19,Active,01/04/2015,54192,49
ADM2107,Student 107,28/08/2018,12,B,Parent 107,9282053503,9597311188,"House 107, Some Road",221066,949068053328,APAAR000107,SC,B+,,/photos/107.jpg,5836378179,SBIN0001234,Stop 15,Active,01/04/2020,35593,94
ADM2108,Student 108,07/05/2014,12,C,Parent 108,9265994401,9876676219,"House 108, Some Road",221029,,APAAR000108,OBC,O+,,/photos/108.jpg,,,Stop 20,Left,01/04/2018,42847,50
ADM2109,Student 109,08/06/2013,5,C,Parent 109,9209313973,9276739538,"House 109, Some Road",221094,315184896640,APAAR000109,ST,B+,,/photos/109.jpg,5225529659,SBIN0001234,Stop 10,Active,01/04/2021,39490,85
ADM2110,Student 110,09/04/2011,11,A,Parent 110,9401511437,9321667518,"House 110, Some Road",221059,136352243962,,General,AB-,,/photos/110.jpg,,,Stop 14,Active,01/04/2021,34578,94
ADM2111,Student 111,21/05/2017,1,A,Parent 111,9376180952,9748227364,"House 111, Some Road",221061,,APAAR000111,General,B+,,/photos/111.jpg,4661219050,SBIN0001234,Stop 6,Active,01/04/2020,28140,88
ADM2112,Student 112,14/06/2014,11,C,Parent 112,9205083685,9550521025,"House 112, Some Road",221041,541446952321,APAAR000112,OBC,O+,Mild asthma,/photos/112.jpg,,,Stop 14,Left,01/04/2017,49831,32
ADM2113,Student 113,20/07/2018,11,C,Parent 113,9296561405,9802752967,"House 113, Some Road",221051,111932189778,APAAR000113,ST,AB-,,/photos/113.jpg,1456898704,SBIN0001234,Stop 9,Active,01/04/2018,34279,50
ADM2114,Student 114,23/04/2018,6,A,Parent 114,9716929633,9590468825,"House 114, Some Road",221079,,APAAR000114,OBC,AB-,,/photos/114.jpg,,,Stop 17,Active,01/04/2010,44242,96
ADM2115,Student 115,11/07/2017,4,C,Parent 115,9297356578,9521436162,"House 115, Some Road",221075,899389597982,,SC,A+,,/photos/115.jpg,6379264953,SBIN0001234,Stop 13,Active,01/04/2016,24030,31
ADM2116,Student 116,03/07/2016,11,C,Parent 116,9824651289,9478091341,"House 116, Some Road",221084,217102959701,APAAR000116,OBC,O+,,/photos/116.jpg,,,Stop 13,Left,01/04/2018,34346,80
ADM2117,Student 117,15/04/2012,3,A,Parent 117,9969271758,9957268578,"House 117, Some Road",221091,,APAAR000117,OBC,AB-,,/photos/117.jpg,4095403305,SBIN0001234,Stop 5,Active,01/04/2015,47085,89
ADM2118,Student 118,10/09/2012,8,B,Parent 118,9941377075,9347448027,"House 118, Some Road",221044,515341377785,APAAR000118,SC,AB-,,/photos/118.jpg,,,Stop 6,Active,01/04/2017,20176,65
ADM2119,Student 119,12/04/2014,6,B,Parent 119,9620678032,9560091146,"House 119, Some Road",221089,192931501008,APAAR000119,SC,B+,Mild asthma,/photos/119.jpg,9283815969,SBIN0001234,Stop 13,Active,01/04/2010,25588,71
ADM2120,Student 120,26/03/2018,6,C,Parent 120,9725406665,9116090927,"House 120, Some Road",221094,,,General,B+,,/photos/120.jpg,,,Stop 3,Left,01/04/2020,39201,62
